title,summary,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_effort,course_length,price,course_description,course_syllabus,course_url
Fat Chance: Probability from the Ground Up,Increase your quantitative reasoning skills through a deeper understanding of probability and statistics.,"66,835",Self-paced on your time,Harvard University,Benedict Gross-Joseph Harris-Emily Riehl,Introductory,Math,English,English,3–5 hours per week,7 Weeks,FREE-Add a Verified Certificate for $49 USD,"Created specifically for those who are new to the study of probability, or for those who are seeking an approachable review of core concepts prior to enrolling in a college-level statistics course, Fat Chance prioritizes the development of a mathematical mode of thought over rote memorization of terms and formulae. Through highly visual lessons and guided practice, this course explores the quantitative reasoning behind probability and the cumulative nature of mathematics by tracing probability and statistics back to a foundation in the principles of counting. In Modules 1 and 2, you will be introduced to basic counting skills that you will build upon throughout the course. In Module 3, you will apply those skills to simple problems in probability. In Modules 4 through 6, you will explore how those ideas and techniques can be adapted to answer a greater range of probability problems. Lastly, in Module 7, you will be introduced to statistics through the notion of expected value, variance, and the normal distribution. You will see how to use these ideas to approximate probabilities in situations where it is difficult to calculate their exact values.",1 Basic Counting2 Advanced Counting3 Basic Probability4 Expected Value5 Conditional Probability6 Bernoulli Trials7 The Normal Distribution,https://www.edx.org/course/fat-chance-probability-from-the-ground-up-2
Chasing your Dream: How to End Procrastination and Get a Job You Love,"According to the old saying, ""Choose a job you love, and you will never have to work a day in your life."" This courseis geared toward helping you find real purpose in your work and becoming the best version of yourself.","44,711",Self-paced on your time,National Research Nuclear University,Pavel Kochkin,Introductory,Communication,English,English,2–6 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,"Do you love your job, do you wake up every morning all eager about it? Are you ready to do what you have chosen for the rest of your life? When you are off the chosen track, are you impatient to snap into action immediately to start working more effectively and overcome the difficulties? Is your life full of purpose, are you of any use to other people? If your answer to all the above questions is ""Yes"" then congratulations, you're doing great! However, most people share at least some level of insecurity about their work and their future. If that sounds more like you, here's a follow-up question: have you done anything to change it? Or are you planning to put up with that for the time being? This course is for those who may feel a little stuck in their careers. It draws from academic teachings in motivation and positive psychology from universities like Harvard andMoscow State University and combines those with cultural studies from Tibet. You'll learn how to resist procrastination and engage a process of self-determination. You'll find ways to contend with the ""bumps"" that prevent us from moving in the direction. This course can't promise a magic pill, butit will offer the tools for solvingkey problems thatcan hinder self-fulfillment. You willgain the basic skills of self-development, explore some well-considered hypotheses of future development, and build the toolsyou'll need to follow your passion and succeed.","Week 1: Course Review
Introduction to the series of courses ""Chasing your Dream,"" about what awaits you in the first course ""How to StopProcrastinating"". Week 2: Problem #1. How to deal with circumstances?
Focus on decision-making, take on responsibility, stop looking for excuses. Solution of Problem #1 - The 'Take on Responsibility' Tool. Week 3: Problem #2. All against me
Focus on advantages and learn how to concentrate on them and effectively apply them in practice. Learn how to compensate for disadvantages. Solution of Problem #2 - The 'Green Pen' Tool. Week 4: Problem #3: I need guarantees
Focus on how to fight the fear of mistakes and learn to move through discomfort. There are no guarantees, you must act yourself and learn to take on responsibility. Solution of Problem #3 - The 'Cult of Mistakes' Tool. Week 5: Results of the course
What's understood, what's learned, what's next",https://www.edx.org/course/chasing-your-dream-how-to-end-procrastination-and
Bitcoin and Cryptocurrencies,This course is part of a Professional Certificate,"83,398",Self-paced on your time,"University of California, Berkeley",Rustie Lin-Mengyi (Gloria) Wang,Introductory,Computer Science,English,English,3–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $99 USD,,,https://www.edx.org/course/bitcoin-and-cryptocurrencies
English Grammar and Style,Learn key concepts and strategies in grammar and style to help enhance your writing and confidently respond to the demand of high levels of literacy in the 21st century.,NA,Instructor-led on a course schedule,The University of Queensland,Roslyn Petelin,Introductory,Humanities,English,English,3–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $99 USD,"With the rise of social media and the Internet, many people are writing more today for different mediums than ever before. We'll present materials that cover grammatical principles, word usage, writing style, sentence and paragraph structure, and punctuation. We'll introduce you to some marvelous resources that we have annotated for your guidance. We'll show you video clips of interviews conducted with distinguished grammarians, challenge you with quizzes and writing activities that will give you strategies to help you to build skills that will enhance the quality of your writing, and invite you to participate in discussions and assess the work of your peers.","In Week 1 , we'll introduce you to the course and discuss what grammar is and why it matters; writing standard English; and how words work. In Week 2 , Introduction to Sentences, we'll learn about parts of speech and word classes; structure and patterns of sentences, phrases, and clauses; and common sentence-level problems. In Week 3 , Introduction to Verbs, we'll consider finite and non-finite verbs: linking verbs, auxiliary verbs, transitive and intransitive verbs, verb phrases, phrasal verbs, verbal phrases, infinitives, participles, and gerunds. We'll also look at tense, mood, and voice of verbs. In Week 4 , Introduction to Nouns and Pronouns, we'll explore form and function of nouns: noun strings and nominalisations; form and function of pronouns, and problems with pronouns. In Week 5 , Introduction to Adjectives and Determiners, we'll discuss the form, function, and use of adjectives including the 'Royal Order of Adjectives' and degrees of comparison. Adjectival sequencing, punctuation, and determiners will also be discussed. In Week 6 , Introduction to Adverbs and Conjunctions, we'll learn about the form, function, degrees of comparison, and placement of adverbs; intensifiers; and weasels. In Week 7 , Introduction to Prepositions and Paragraphs, we'll identify how prepositions function and problems with prepositions. We'll also look at paragraph development and cohesive ties. In Week 8 , Introduction to Punctuation, we'll explore the main punctuation marks, punctuation problems, and other punctuation marks. Approach: Video interviews, mini-lectures, readings, quizzes, writing activities, and writing assignments.",https://www.edx.org/course/english-grammar-and-style
Ethics in Action,What do the world's great religious and secular philosophies have to say about ethical conduct? Which virtues are common across faiths? And what role do religious communities have to play in building a more just and sustainable world?,"6,366",Self-paced on your time,SDG Academy,Dr. William Vendley-Jeffrey D. Sachs,Intermediate,Ethics,English,"English, Español, Русский",2–4 hours per week,10 Weeks,FREE-Add a Verified Certificate for $49 USD,"The challenges of sustainable development are more than technical or political--they are also moral, calling on us to examine who we are as human beings, and who we want to be going forward. This examination of what makes a ""good person""--called virtue ethics--has long been the purview of philosophers and theologians. So what do the world's great religious and secular philosophies have to say about ethical conduct? Which virtues are common across creeds and cultures? And what role do ethics, spirituality, and religious communities have to play in sustainable development? In 2016, distinguished leaders from the world's major religious traditions, philosophers, scholars, and scientists were invited by Pope Francis to the Vatican for a series of meetings. Known as the Ethics in Action initiative, these meetings sought to promote dialogue and find consensus about the values needed to advance transformative action for our common home and the human family. This course features Ethics in Action meeting participants, as well as other leading voices, and discusses the perspectives of some of the world's great traditions and their role in addressing our world's most pressing challenges, including poverty, corruption, and climate change. It presents multi-faith cooperation as essential for achieving sustainable development, and calls for the development of a new shared virtue ethics to bring us all into a sustainable and peaceful future. This course is for: ","Module 1: Introduction to Ethics in Action
Chapter 1: Sustainable Development and the Need for Ethics in Action 
Chapter 2: The History of Sustainable Development and the SDGs 
Chapter 3: The Moral and Practical Limits of Global Capitalism
Chapter 4: Moral Teachings and Sustainable Development: An Overview from the World’s Religions Module 2: Religion and Virtue Ethics - Part I
Chapter 1: Lessons from Classical Greece
Chapter 2: Lessons from Classical China 
Chapter 3: A Hindu Perspective 
Chapter 4: A Buddhist Perspective Module 3: Religion and Virtue Ethics - Part II
Chapter 1: A Jewish Perspective 
Chapter 2: A Catholic Perspective 
Chapter 3: A Protestant Evangelical Perspective 
Chapter 4: An Islamic Perspective
Chapter 5: An Indigenous Perspective Module 4: The Virtuous Society
Chapter 1: Virtue Ethics as a Multi-Religious Consensus
Chapter 2: Inquiry and Moral Reasoning 
Chapter 3: Spirituality and the Common Good 
Chapter 4: Virtue Ethics and Science 
Chapter 5. Gender Equality: A Confucian Perspective Module 5: Poverty and Inequality
Chapter 1: The Challenge of Global Poverty 
Chapter 2: The Rights to Health, Education, and Decent Work
Chapter 3: Christian Social Teachings on Poverty
Chapter 4: Ethical Conduct Towards the Vulnerable
Chapter 5: Ethical Actions to End Poverty Module 6: Peace
Chapter 1: The State of Conflict around the World
Chapter 2: Barriers to Lasting Peace among and within Nations 
Chapter 3: Tenets of Peace of the World’s Religions 
Chapter 4: Religion and Peacebuilding 
Chapter 5: Actions for a Lasting Peace: Lessons from Syria Module 7: Refugees, Trafficking, and Modern Slavery
Chapter 1: Drivers of Migration, Human Trafficking, and Modern 
Chapter 2: The Ethics of Migration and Refugees
Chapter 3: The Ethics of Modern Slavery and Trafficking 
Chapter 4: Political and Social Responses to Forced Migration Module 8: Environmental Justice
Chapter 1: Environmental Perils Facing the Planet 
Chapter 2: A Hindu Approach to Environmental Care 
Chapter 3: Laudato Si’ and Climate Justice 
Chapter 4: The Rights of Indigenous Populations 
Chapter 5: Defending our Common Home: Global and Local Actions Module 9: Politics and Power
Chapter 1: Politics, Power, and the Common Good 
Chapter 2: The Moral Underpinnings of Statecraft
Chapter 3: Ethics and the International Political Order 
Chapter 4: Corruption and Politics Today Module 10: Business, Work, and the Common Good
Chapter 1: The Moral Basis for Business Activity 
Chapter 2: Corruption and Global Business
Chapter 3: Technology and the Dignity of Work 
Chapter 4: Business Leadership for Community Well-being Course Conclusion: Towards a New Virtue Ethics for Sustainable DevelopmentExamining Ethics in Action: Case Studies",https://www.edx.org/course/ethics-in-action
Introduction to FinTech,"Learn from leading academics and practitioners from around the world about the innovations, technology and regulation driving the transformation of finance.","72,767",Self-paced on your time,University of Hong Kong,Douglas Arner-Janos Barberis-Huy Nguyen Trieu-Ross Buckley,Introductory,Economics & Finance,English,"English, 中文, 中文",1–3 hours per week,6 Weeks,FREE-Add a Verified Certificate for $199 USD," Over the past decade emerging technologies, paired with massive changes in regulations, have driven an unprecedented transformation of finance around the world. This process is happening more rapidly in China and Asia than anywhere else. This course is designed to explore FinTech fundamentals and help make sense of this wave of change as it happens.New players such as start-ups and technology firms are challenging traditional players in finance, bringing democratization, inclusion and disruption. Companies engaged in social media, e-commerce, and telecommunications, as well as, companies and start-ups with large customer data pools, creative energies, and technical capacities, have brought competition to the existing financial infrastructure and are remaking the industry.These transformations have not only created challenges but also unprecedented opportunities, building synergies with new business and regulatory models, particularly in emerging markets and developing countries. To meet these changes, 21st-century professionals and students must be equipped with up-to-date knowledge of the industry and its incredible evolution. This course - designed by HKU with the support of SuperCharger and the Centre for Finance, Technology and Education - is designed to enable learners with the necessary tools to understand the complex interaction of finance, technology and regulation.In this course, through a series of video lectures, case studies, and assessments you will explore the major areas of FinTech including, beginning with What is FinTech before turning to Money, Payment and Emerging Technologies, Digital Finance and Alternative Finance, FinTech Regulation and RegTech, Data and Security, and the Future of Data Driven Finance, as well as, the core technologies driving FinTech including Blockchain, AI and Big Data. These will set the stage for understanding the FinTech landscape and ecosystem and grappling with the potential direction of future change.****","Module 1 What is FinTech?Module 2 Payments, Cryptocurrencies and BlockchainModule 3 Digital Finance and Alternative FinanceModule 4 FinTech Regulation and RegTechModule 5 Data & TechFinModule 6 The Future of Data-Driven Finance",https://www.edx.org/course/introduction-to-fintech
Data Science: R Basics,"Build a foundation in R and learn how to wrangle, analyze, and visualize data.","528,782",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,"The first in our Professional Certificate Program in Data Science, this course will introduce you to the basics of R programming. You can better retain R when you learn it to solve a specific problem, so you'll use a real-world dataset about crime in the United States. You will learn the R skills needed to answer essential questions about differences in crime across the different states. We'll cover R's functions and data types, then tackle how to operate on vectors and when to use advanced functions like sorting. You'll learn how to apply general programming features like ""if-else,"" and ""for loop"" commands, and how to wrangle, analyze and visualize data. Rather than covering every R skill you might need, you'll build a strong foundation to prepare you for the more in-depth courses later in the series, where we cover concepts like probability, inference, regression, and machine learning. We help you develop a skill set that includes R programming, data wrangling with dplyr, data visualization with ggplot2, file organization with UNIX/Linux, version control with git and GitHub, and reproducible document preparation with RStudio. The demand for skilled data science practitioners is rapidly growing, and this series prepares you to tackle real-world data analysis challenges.",,https://www.edx.org/course/data-science-r-basics
Python Basics for Data Science,"This Python course provides a beginner-friendly introduction to Python for Data Science. Practice through lab exercises, and you'll be ready to create your first Python scripts on your own!","228,809",Self-paced on your time,IBM,Joseph Santarcangelo,Introductory,Data Analysis & Statistics,English,English,2–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $39 USD,"Kickstart your learning of Python for data science, as well as programming in general with this introduction to Python course. This beginner-friendly Python course will quickly take you from zero to programming in Python in a matter of hours and give you a taste of how to start working with data in Python. ~~~~Upon its completion, you'll be able to write your own Python scripts and perform basic hands-on data analysis using our Jupyter-based lab environment. If you want to learn Python from scratch, this course is for you.You can start creating your own data science projects and collaborating with other data scientists using IBM Watson Studio. When you sign up, you will receive free access to Watson Studio. Start now and take advantage of this platform and learn the basics of programming, machine learning, and data visualization with this introductory course.The objectives of this course is to get you started with Python as the programming language and give you a taste of how to start working with data in Python.In this course you will learn about:","Module 1 - Python Basics
Your first program
Types
Expressions and Variables
String Operations Module 2 - Python Data Structures
Lists and Tuples
Sets
Dictionaries Module 3 - Python Programming Fundamentals
Conditions and Branching
Loops
Functions
Objects and Classes Module 4 - Working with Data in Python
Reading files with open
Writing files with open
Loading data with Pandas
Working with and Saving data with Pandas Module 5 - Working with Numpy Arrays
Numpy 1d Arrays
Numpy 2d Arrays",https://www.edx.org/course/python-basics-for-data-science
The Science of Beer,"Are you interested in more than just the taste of beer? Discover what's in your beer, howit's made and marketed and the effectit hason your body and health.","39,085",Self-paced on your time,Wageningen University & Research,Sander Breevaart-Florence Scherer-Nico van der Veen-Esther Kunst,Introductory,Food & Nutrition,English,English,2–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD," Have you ever taken a sip of beer and wondered why it tastes a certain way or what effect the alcohol has on your body?In this course, you will learn all about beer, including how it's made, the raw materials used, it's supply chain, how it's marketed and the effect of beer consumption on your body.After this course, tasting a beer will be an entirely new sensation: you will enjoy it even more since you will better understand what's inside your drink. Not to mention, to be a responsible drinker it is important to know what effects beer has on your health. You will gain a natural view on this, allowing you to form your own well-grounded opinion.This MOOC is developed by students of Wageningen University & Research in honour of the 100 year anniversary of the university. The students have received guidance from professors and experts in the field of food production, health risks, marketing, logistics and sustainable supply chains to ensure a high-quality learning experience for everyone. In this MOOC your teachers will truly be your peers!So, are you interested in the science behind your beer? Register for this course now!","Module 1: Production of Beer In this two-week module you will learn everything about the production process of beer. You will explore different beer styles, be confronted with quality issues and make choices on beer logistics. ** Module 2: Raw materials of beer and cultivation practicesYou will deepen your understanding on the raw materials of beer. You will find out how their cultivation and the environment influence each other.Module 3: Marketing of beer and cultural effectsYou will explore how beers are marketed. After thismodule you will see through the marketing tricks that marketers use, and have knowledge of its impact on the image and culture of beer.
Module 4: Consumption of beer and health effects
** In this week you will follow the pathway that beer takes after it is consumed. You will form your own opinion on responsible drinking, by comparing both positive and negative effects on the human health.",https://www.edx.org/course/the-science-of-beer
Strategic Social Media Marketing,Learn how to drive social media engagement by linking strategy and tactics and measuring results.,"103,640",Instructor-led on a course schedule,Boston University,Barbara Bickart,Advanced,Business & Management,English,English,4–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $399 USD,"Social media technologies are continuously transforming the ways consumers interact with each other and firms. These changes constitute a fundamental shift in the marketplace--consumers have greater opportunities to voice their opinions and connect with their peers as well as increased influence over marketers and brands. In this course, part of the Digital Product Management MicroMasters program, we examine how organizations capitalize on social media and consumer-to-consumer interactions to support their marketing efforts. We view these issues from a strategic and a practical perspective, rather than a technical or platform perspective. We will give you the knowledge you need to create engaging content for platforms such as Facebook, Instagram, Twitter, and Snapchat and how to identify influencers, deliver content to a targeted audience, and measure the success of your efforts. Understanding social media is crucial for product managers who will be operating in a digital environment. Product managers will learn how to use social media conversations to inform their decision-making and how to leverage social media to promote their products, services and the brand. Additionally, learners will gain an understanding of how social media can be used to achieve specific organizational objectives and to measure the effectiveness of those efforts.","Week 1: A Strategic Perspective on Social Media Marketing
Introduction to social media and how it has altered the consumer decision-making process and communications paradigm. Describe the role of social media in marketing strategy and assess the tradeoffs in using social media relative to traditional communication methods. Learn how to set social media marketing objectives that are linked to business objectives. Week 2: Leveraging Networks
Understand the role of networks in the distribution of content, including network structure and how it affects the flow of information. Learn how to leverage online networks and communities to engage consumers in brand-related conversations. Discuss how to identify influencers and their role in distributing content. Week 3: Creating Engaging Content
Learn how to create social media content that attracts and retains consumers' attention and motivates engagement and sharing. Describe the role of storytelling in a digital landscape. Understand how to evaluate and select platforms for distributing content. Week 4: Social Media Listening and Co-Creation
Examine how social media listening is integrated into marketing decision making. Introduction to approaches to social media listening and how to draw inferences from listening data. Learn how social media is used to facilitate open innovation and co-creation. Week 5: Assessing Social Media ROI
Introduction to a framework for assessing the return on investment of social media activities. Describe metrics for measuring the success of social media efforts and explore the role of analytics in linking these metrics to the bottom line. Understand the role of paid media in social media marketing. Week 6: The Role of Social Media in the Organization
Describe organizational approaches to managing social media and developing social media policy. Discuss how to manage specific issues in social media, including negative feedback, online reviews, and crisis management. Identify ethical conflicts and issues associate with social media marketing decisions.",https://www.edx.org/course/strategic-social-media-marketing
